,index,variable,value
10,0,DayOfWeek,0.0514743583762524
13,0,PercentChange,0.04927837656901702
4,0,Volume BTC,0.048477128789943445
25,0,DMN_14,0.04734936388861562
5,0,Volume USDT,0.04654391999457781
11,0,DayOfMonth,0.04609941539063162
6,0,tradecount,0.04585527738523152
23,0,ADX_14,0.045822982019999015
24,0,DMP_14,0.04555631901827252
19,0,RSI14,0.044550927571936634
21,0,MACDh_12_26_9,0.04405268139944328
20,0,MACD_12_26_9,0.04127989709586961
22,0,MACDs_12_26_9,0.03921622888543123
2,0,Low,0.039094070906484736
3,0,Close,0.037393781942672136
1,0,High,0.03719104213142858
16,0,EMA100,0.03638493392026506
15,0,EMA200,0.03593509906944748
12,0,PrevClose,0.035723552184048026
0,0,Open,0.03539670573815626
18,0,EMA20,0.03537230272988383
17,0,EMA50,0.03380776049949595
9,0,Week,0.030523374624714293
8,0,Month,0.02365919211649463
7,0,Year,0.012149248003084687
14,0,CurrentTrend,0.011812059748602529
